AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/10/2019,23.8,15.8,77.3,0.0
2/10/2019,25.8,15,74.1,0.0
3/10/2019,21.6,16,78.8,0.0
4/10/2019,26.2,15,77.6,0.0
5/10/2019,24,16,75.7,0.0
6/10/2019,25,16.2,75.6,1.6
7/10/2019,26,16.8,80.2,0.8
8/10/2019,25.2,16.8,76.7,0.0
9/10/2019,26,16.2,72.5,0.0
10/10/2019,25.4,15.6,73.4,0.0
11/10/2019,25.4,16.2,74.9,0.0
12/10/2019,25.8,17,67.8,0.0
13/10/2019,24.2,16,69.1,0.0
14/10/2019,26,16.2,70.2,0.0
15/10/2019,25.6,16.2,72.7,0.0
16/10/2019,23,16,84,4.8
17/10/2019,24,16.2,79.1,3.0
18/10/2019,21.2,17,89,0.0
19/10/2019,25,16,81.2,0.0
20/10/2019,25,17.6,75.1,0.0
21/10/2019,24,16.8,80.4,3.7
22/10/2019,23.2,17.2,88.2,0.4
23/10/2019,24.6,16.6,79.7,0.0
24/10/2019,25.8,17,72.4,0.0
25/10/2019,26,16.8,71.4,0.0
26/10/2019,26.2,17,66.6,0.0
27/10/2019,26.8,16.4,63.6,0.0
28/10/2019,26.2,17,68.4,0.0
29/10/2019,24.8,15.4,74.9,0.0
30/10/2019,25.6,16,73.6,0.0
31/10/2019,25.6,15,73.6,0.0
