,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACION (mm/dia) 
1/9/2019,25.2,15,76.6,0.0
2/9/2019,26.2,15.8,73.5,0.0
3/9/2019,27.4,14.6,72.1,0.0
4/9/2019,26.4,14.4,71.6,0.0
5/9/2019,26.4,15,72.1,0.0
6/9/2019,27.2,14.6,76.5,0.0
7/9/2019,25.2,15.2,72.4,0.0
8/9/2019,25.4,15.8,67,0.0
9/9/2019,24.8,16.4,66.8,0.0
10/9/2019,24.4,14.6,69.7,0.0
11/9/2019,26.8,15.4,72.1,0.0
12/9/2019,25.4,14.8,73.4,0.0
13/9/2019,25.6,15.8,71.5,0.0
14/9/2019,25.4,15.8,69.5,0.0
15/9/2019,26.2,15.2,73.6,0.0
16/9/2019,26.2,15.4,66.7,0.0
17/9/2019,25.8,14.2,72.7,0.0
18/9/2019,26,14.2,79.6,0.0
19/9/2019,26.4,16.2,74.6,0.0
20/9/2019,23.8,15.6,72.4,0.0
21/9/2019,23.2,16.4,81.9,0.5
22/9/2019,25.2,15.4,72.5,0.0
23/9/2019,24.2,16.8,76.1,0.0
24/9/2019,24.8,15.4,78,0.0
25/9/2019,25.6,15.4,72.4,0.0
26/9/2019,26.4,15.8,70.5,0.0
27/9/2019,26.4,15,74.9,0.8
28/9/2019,24.6,16,73.2,0.0
29/9/2019,27.8,16,69.3,0.0
30/9/2019,26.2,15.8,75.9,0.0
